Description;Intent
Parsa ma Police ka DSP le Surgical Shop vitra pasera staff lai kuteko video out vayepachi Nepal Police le investigation suru gareko chha. P.S. Police le pasal banda garaudai hineko video khichepachi DSP le unlai kuteko vaniyeko chha.;Sad

Back to Back record in Nepali Share Market: NEPSE has made highest trade ever in a single day with transaction of more than Nrs. 14 Arba 76 Crore today. We can see investors attraction towards Development Banking Sector and Hydro.;Surprise

Great initiative: Nepal's 3 leading players in food and hospitality sector Bhojdeals, Dalle and B2B have joined hands and started an initiative called "Share-a-Meal" to support frontline volunteers and healthcare staff. As part of this initiative, they are preparing and serving free lunchboxes everyday to help them. Also after getting many requests from the community, they have now added an option in the bhojdeals app where anyone can participate in the initiative by contributing meals. Frontliners regularly receiving free lunchboxes from this initiative include Hami Nepal Youth organisation, Patan Hospital, Teku Hospital and various wards in Kathmandu and Lalitpur. ;Funny

New Case Alert: 6,731 new COVID-19 cases confirmed in Nepal. Now, the total number of COVID-19 confirmed cases in Nepal reached 542,256.Meanwhile, 7,226 COVID-19 patients have recovered in the last 24-hours in Nepal. After this total number of recovered cases has reached 418,829 (which is 77.2% of total confirmed cases) in Nepal.106 new deaths of COVID-19 positive patients reported, taking the total death count to 6951 in Nepal.20,414 RT-PCR is done in the last 24 hours in Nepal.;Sad

As District Administration announced strict rules from tomorrow, Vehicles Movement can be seen slightly high as compared to last days in Kathmandu Valley. #StayHome;Surprise

Construction work of first Over Head Bridge in Pokhara is going on at Srijana Chowk. Work is almost  85% Completed and supposed to be ready within this month. ;Surprise

Veteran Actress and Social Activist, Manisha Koirala has donated 4 sets of ventilators and other health supplies to Narayani Hospital, Birgunj. This is a great initiative to help Nepal in this crisis and emergency. ;Surprise

World Record: Nepali Comedian Lekhmani Trital & UKG of Nep-Gasm breaks the Guinness World Records by performing stand-up comedy in the highest Altitude - Kalapatthar (Highest altitude stand-up comedy gig on land). #Congratulations;Surprise

Another Big Announcement: Nepal Rastra Bank (NRB) has directed all the banks and financial institutions to provide loans at the base rate (a rate at which bank is at break even without any profit or loss) for the concerned health associates or businessmen for setting up a liquid oxygen plant or oxygen plant. Arrangements has also been made so that life saving equipments can be supplied easily and as soon as possible.;Surprise

Weather & Flood Alert: Current Weather Condition due to Tyohoon 'Yaas' has caused rain in different parts of Nepal & it may increase waterflow in rivers around Pradesh 1, 2 Bagmati, Gandaki & Lumbini pradesh. People living near river banks are asked to stay alert from today evening to Jestha 15.;Surprise

Breaking: Chinese President Xi Jinping has announced to give another 1 million doses of COVID-19 vaccine to Nepal under grant assistance after today's phone conversation with President Bidhya Devi Bhandari.;Surprise

New Case Alert: 6,677 new COVID-19 cases confirmed in Nepal. Now, the total number of COVID-19 confirmed cases in Nepal reached 535,525.Meanwhile, 6,716 COVID-19 patients have recovered in the last 24-hours in Nepal. After this total number of recovered cases has reached 411,603 (which is 76.9% of total confirmed cases) in Nepal. 145 new deaths of COVID-19 positive patients reported, taking the total death count to 6845 in Nepal.19,030 RT-PCR is done in the last 24 hours in Nepal;Sad

MoHP Nepal has started providing the details regarding availability of beds in different hospitals through it's official website. It will be of great help now as we could easily know about the beds available which will be really beneficial in this situation. Updating real time information will still be a challenge. We will update you if this thing works efficiently unlike hotline numbers.;Surprise

Popular Free Fire player/Streamer Sooneeta Thapa Magar & Sandesh Tamang aka 2B Gamer have donated Nrs. 50,000 & 25,000 respectively to needy people who are affected due to pandemic. They have donated money from their income in a charity streaming event by ECN. #ThankYou;Surprise

Pyuthan ma eutai family ka Aama, Chora ra Chori ko dead body jungle ma Jhundiyeko awastha ma vetiyeko cha. Police investigation is going on.;Sad

Inspirational Work by Legendary Nepali singer Ram Krishna Dhakal: He has provided around NRs 18 lakhs to Mahabir Pun's National Innovation Center for oxygen related needs by collecting the amount with his own contribution and donations from Nepali and Bhutanese living in USA. He says, "I came to USA for a cultural program and unable to return Nepal due to the situation right now but I have tried my best to help my country in this difficult situation through the help of many Nepali and Bhutanese people." This a great thoughtful act of him for Nepal which deserves huge respect. ;Surprise

Back to back 3 Earthquakes recorded last night in different places of Nepal: Magnitudes of 3.5 at 6:54 PM in Bhulbhule, Lamjung, 3.6 ML at 11:11 PM in Kavrepalanchok and 3.5 ML at 12:53 AM in Ramechhap.;Sad

Historic Day: On this day in 2008, Nepali Cricketer Mehboob Alam made world record by taking all 10 wickets in an inning of a one day game against Mozambique. ;Surprise

Misuse of Ambulance: Bhedetar bata Dharan jadai gareko ambulance ma almost 100 kg illegal ghaja (गाँजा) sahit 2 jana lai Police le arrest gareko cha.;Funny

Nepali Social Media users once again raising voice after Comedian Adarsh Mishra's Father's death as he couldn't get needed facility. Health System in Nepal has always been lacking resources & Dr.Govinda KC has been raising this question always. Many Government Hospitals in Nepal, specially in outside valley have lack of equipments & good hospital services. Important equipments are mostly mismanaged except for some exceptions in Narayani Hospital & other Province 2 hospitals. Patients with long term diseases find it even harder. Kidney & Cancer patients are often seen struggling for life due to lack of funds & better service. Our health system needs a makeover. Government Quota for doctors are just around 1000 for nearly 3 crore people & malpractices of some private hospitals if not all is not a new news. Lives of every kind of patients are important regardless of their reach. Right to live is written in our law and we all deserve it. Adarsh Mishra's dad was one of the many victims.;Sad

Breaking: DAO, Kathmandu has decided to extend the Nisedhagya in Kathmandu valley till Jestha 20 with more strict rules and regulations. New changes in the Nisedhagya are:The departmental stores, grocery stores will completely be closed for a week. Only shops related to vegetables, fruits, milk, meat, cooking gas will be opened in the morning till 9 AM.Both private and public level construction works will be stopped and the materials related to such works can not be transported.;Surprise

New Case Alert: 8,387 new COVID-19 cases confirmed in Nepal. Now, the total number of COVID-19 confirmed cases in Nepal reached 528,848.Meanwhile, 6,404 COVID-19 patients have recovered in the last 24-hours in Nepal. After this total number of recovered cases has reached 404,887 (which is 76.6% of total confirmed cases) in Nepal. 169 new deaths of COVID-19 positive patients reported, taking the total death count to 6700 in Nepal.22,306 RT-PCR is done in the last 24 hours in Nepal.;Sad

World record holder is back: Kamirita Sherpa returned Kathmandu after successfully climbing Mt. Everest for record 25 times. Kamirita Sherpa scaled World tallest peak last week breaking his own world record. #Welcome ;Sad

Wow.. Sandeep Lamichhani is selected for Caribbean Premier League T-20 cricket from Champion team Trinbago Knight Riders.#GoodWishes;Surprise

Weather Alert: The effect of Cyclone in Bay of Bengal can be seen in eastern part of Nepal as weather is changing with heavy clouds and rainfall expected. ;Sad

Exam Update: Tribhuvan University (TU) is planning and having discussions on which modalities to follow for conducting annual Bachelor's Level examination. They are planning for nearest center based examination as online medium may not be possible for all the students because of uneven Internet accessibility. The official decision regarding the examination will be provided soon, according to Official of TU.;Surprise

Emotional photo from 2 different hospital of Kathmandu: Nurses taking some rest on the stairs of hospital being tired of providing service day and night. Thank you to all the health workers who are working continuously in this difficult situation.#Respect;Sad

Record from Mt. Everest: Tsang Yin Hung from Hongkong became the fastest woman to climb Mt. Everest in just around 25 hours & 10 minutes breaking previous record of 39hrs & 6 minute. #Congratulations;Surprise

Kathmandu District Administration Office le mask nalagai hidne lai each time Rs. 100 fine hune vandai notice nikaleko chha. Office le Government le ongoing situation ko lagi lyayeko Ordinance (अध्यादेश) follow garna sabai lai request gareko chha vane Ordinance follow nagarne manche lai 1 year jail ra Nrs. 1 Lakh samma fine huney ni vaneko chha.;Surprise

Good News for Series Lovers: Popular Netflix Series Money Heist ( La Casa de Papel)'s Final season will be released in 2 parts. Part 1 will release on September 3 and Part 2 will release on December 3, 2021.;Surprise

Warm farewell to MoHP's Spokesperson Dr. Jageshwar Gautam: He has been appointed as the Chief Administrative Officer of Bir Hospital (COVID-19 Unified Hospital). Now, Sameer Adhikari, co-spokesperson will handle his post & will appear in comes Media briefing for an interim period until next Spokesperson is officially appointed.;Funny

Health & Population Minister Hridayesh Tripathi said, "We are trying our best even during such political condition and we have taken the advice of imposing Health Emergency in the country positively from experts. We are also in talks with many countries about bringing Khop (खाेप) and official letters have been sent already.";Angry

Nepal Telecom has announced 'Thank you Health workers' offer for the frontline health workers including doctors, nurses, pharmacist working in field for the patients in this  situation. With this offer the health workers will be getting Free Voice Call service for a period of one month in both pre/post paid sims registered in their own name. The company has coordinated with the concerned authorities to get the name list of the health workers after which the feature wil be activated.P.S. The time period for the feature might be extended as per the situation in the country.;Surprise

Back to Back record in Nepali Share Market: NEPSE has touched its all time highest point (2,823) & a highest trade ever in a single day with transaction of more than Nrs. 13 Arba 17 Crore today.;Surprise

The alliance of opposition parties have officially filed a writ at Supreme Court of Nepal asking the court to reinstate the parliament, call a parliamentary meeting and make Mr. Sher Bahadur Deuba as a Prime Minister of Nepal. They have also claimed to have 146 Member of Parliament on their side.;Funny

Nepal's First Female PhD. holder in literature & popular writer Banira Giri is no more. She took her last breath last night as per family sources. Her book 'Kaaragar' is still popular.;Sad

Summer Alert: Kathmandu lagayat Nepal ko different places ma garmi ekdum badeko chha. MFD anusar last 24 hrs ma Kathmandu ko max temperature 32.5 °C cha vane minimum 19.5 °C record vayeko chha. #StayCool;Surprise

Weather Alert: Severe Cyclone is developing in eastern part of Bay of Bengal today. This would also affect different parts of Nepal from tomorrow evening as some areas of hilly & mountain regions of Pradesh 1, Bagmati Pradesh will experience rainfall/ Snowfall & strong wind. This would also affect Mountaineers who are trying for Mt. Everest expedition, according to the MFD. #StaySafe;Sad

Nepal Airlines arrived from Singapore bringing more than 13 tons of medical supplies (worth around NRs. 25 crores) and handed over to Nepal Government by Surendra Silwal, deputy MD of Gorkha Brewery. It was possible due to the donation of Temasek Foundation Singapore, Lotus Life Foundation Singapore and Gorkha Brewery. #ThankYou;Surprise


United Nations has released a emergency response plan for Nepal and has requested NRs. 9 Arba 77 Crores+ from donor countries. The report says almost 7.5 lakh people in Nepal need urgent help due to pandemic. ;Sad

Superstar Rajesh Hamal recently seen with a new look in his live video. It looks like he is probably preparing for his upcoming movie, Satyam. ;Funny

Gulmi ma afnai 11 year old bhatiji lai rape gareko aarop ma Nepal Police le 19 yrs old kaka parne lai arrest gareko cha vane Palpa ma afno 9 yr old chhori lai rape gareko aarop ma 31 yr old father lai arrest garieko cha.;Angry

Binod Mishra Case Update: Narayani Hospital and National Medical college have issued their clarification on Adarsh Mishra's Father Case saying that they have done their part well. Meanwhile, Adarsh is claiming that he has been getting threat calls from different people asking him to take back his statements, to which he has replied saying " My statements won't be back just like my father".;Sad

Bheri Hospital Case "Attack on Frontliners": As per medical staffs of the hospital, Relatives of a patient attacked them after a critical patient died in the hospital (घाटी पनि थिचेको आरोप छ). Nurses are claiming to have jumped from 2 storey building and hide to save their lives. We hope the local administration does necessary investigation in this case.;Sad

Back to back Earthquake in Lamjung: An earthquake of ML 3.6 occurred around Bhulbhule, Lamjung at 8:22 AM.;Sad

Strict Nisedhagya rules starts from today in Kathmandu Valley: We can see very less number of vehicles in the road as compared to last days, Police checking is very tight. Departmental stores, grocery stores are completely closed. Shop related vegetables, fruits, milk, meat, cooking gas are opened in the morning till 9 AM. #StayHome;Surprise

Next 24 hrs Weather Alert: There will Partly to Mostly cloudy in most of the places of Nepal. Light to moderate rain with thunder and lightning is likely to occur at some places of the country. Chances of heavy rainfall with storm is in Province 1, Province 2, Gandaki, Lumbini and Bagmati Province. There is possibility of snow fall in high hilly and mountainous region of the country.  #StaySafe;Surprise

Breaking: MoHP-Nepal has drawn it's serious attention and is very much concerned about the mistreatment and mis behaviour with the health workers yesterday at Bheri Hospital, Nepalgunj. It has requested all the concerned authorities to take strict action as per the law if any kind of illegal and immoral activity is shown towards the health workers who are working day and night in different hospitals.;Surprise


Bheri Hospital Case Update: Frontline health workers lai haatpat garne 3 jana lai Nepal Police le arrest gareko chha.;Funny

BCCI has decided to conduct remaining matches of IPL in UAE during September- October season.;Funny


Cyclone Yaas Effect: Many places of Nepal are experiencing cloudy/rainy weather. This type of weather will continue for next few more days. Light to heavy rain with thunder and lightning/gusty winds/ hail is likely to continue at some places of the country and , chances of heavy rainfall at some places of the Province 2, Bagmati Province, Gandaki Province and Lumbini Province. #StaySafe;Sad

Historic Day: On this day (29 May-1953), Tenzing Norgey Sherpa and Sir Edmund Hillary had successfully climbed the world's highest peak Mt. Everest. Happy Mt Everest Day (सगरमाथा आरोहण दिवस) to all. ;Surprise

Nepali Talent: He is Archit Babu, Youngest Novelist as per Upanayas Samaj who wrote a novel called "Panchamani" at the age of just 12 when he was in Class 7. ;Surprise

Achievement: She is 19 years old professional football player from Nepali origin currently living in UK, Asmita Ale.  She became the 'Player of the 2020/21 Season' of Aston Villa Women's Football Club in the England Women's Super League by the voting of her peers from Aston Villa Club. She became the first woman footballer of Nepali origin to sign professional contract with a Premier League side. We wish her Congratulations and all the best for her future career. ;Surprise

SEE Update: A virtual meeting of NEB officials is taking place soon (most probably today) where they would be discussing on report submitted by experts. The report has suggested authorities to conduct SEE marking in Last year's modality. This suggestion will be discussed in NEB meeting and sent to Education Ministry which will then pass it to cabinet for final approval. Education Minister is also positive about conducting marking in last year's modality i.e. internal evaluation. We will update you with further developments and what final/official decision comes.;Funny

Happy Face: He is 94 years old Kham Bahadur Tamang from Kathmandu who has recovered well from COVID-19. He fought the battle by staying at home isolation as he didn't have much complications. Good to see him recover with his happy face. ;Surprise

More than NRs. 50 Lakhs have been raised from Nepal and abroad in treatment fund of Ujwal Thapa, activist and co-founder of Bibeksheel Nepali party who is in serious condition. They have asked everyone to stop donation for now. We wish him a speedy recovery.;Surprise

Good News for Youth & Young entrepreneur: Nepal government has announced to provide seed capital loan up to Rs. 25 Lakh at 1% interest for startups business. Let's hope this annocument will be implemented soon.;Funny

Around 27.6 tons of Garbage and 4 dead bodies from Six mountains including Mt. Everest, Makalu & Dhaulagiri have been collected by a team of Nepal Army, Mountaineers & Local bodies. The Mountain Cleaning Campaign concluded yesterday. ;Sad

Good News: Government le Budget Speech bata Electric Vehicles ko tax/vat ghataye sangai electric Vehicles ko price ni mazza le ghatne vayeko chha vane businessman haru le new model ko vehicles lyaune tayari garirako chhan. ;Surprise

Big Announcement by Inspirational Man: Dr. Sanduk Ruit has announced to provide NRs 10 Million for healthcare professionals working in the frontline during ongoing situation in special award from his organization "Barbara Foundation". The award amount is generously granted by Foundation's board member and Chairman of Continental Trading Enterprises Mr. Suhrid Ghimire and his social worker daughter Aditi Ghimire. ;Sad

New World's Richest Man: Bernard Arnault of LVMH group has become the World's Richest Man leaving Amazon's Jeff Bezos behind. LVMH owns Louis Vuitton, Givenchy and dozens of other big fashion brands. ;Surprise

Amazing: Grammy Nominated Singer Mike Posner has reached the the top of Mt. Everest today Morning. Mike is known for his hits like "Cooler than me", "I took a pill in ibiza", "Top of the world", "Please Don't Go" etc. ;Surprise

Live Photo: Dang Valley is experiencing Dark during Day with wind. #StaySafe;Surprise

Nepali Youth leader and activist, Ujwal Thapa is no more with us. He played main role to bring youth in politics and led many important campaigns. ;Sad

The three CDOs of Kathmandu valley will take further decisions tomorrow regarding how many days to extend the Nishedhagya and what modality and rules to follow for different sectors, as the decision couldn't be made today.;Surprise

Good Work: The civil society and private sector collaboration in Nepal is in the process of bringing 10 Oxygen Generator Plants from France at a cost of around NRs 12 Crore. It will be enough to produce about 2500 litres of oxygen per minute to provide for 500 beds in 24 hours. The initiation and the cost has been managed by seven different groups: USA Nepal Medical Foundation, Creasion Nepal, The Coca-Cola Foundation, Humanity Foundation Nepal, Mission Rebuild Nepal, Batas Foundation, Jagdamba Steel and Syakar Trading Company Pvt. Ltd.P.S. They aim to work together in this difficult situation so that the suffering of many people can be reduced in Nepal.;Surprise

Tribute Pencil art of legendary Amrit Gurung on the occasion of his Birthday.;Surprise

Breaking: Nepal Airlines has arrived after bringing around 8 lakh doses of COVID-19 Vaccine from Beijing as grant assistance by China.;Surprise

Kathmandu Valley ma Nisedhagya ko bare ma discuss garna ko lagi most probably aaja CDO haru ko meeting basdai chha.;Surprise

Amazing: A rare white deer has been found in the forest of Bethanchowk-2, Kavre. It is a exceedingly rare wild animal found in the mountainous region of Nepal also and now, it has been sent to Jawalakhel Zoo.;Surprise

New World's Richest Man: Bernard Arnault of LVMH group has become the World's Richest Man leaving Amazon's Jeff Bezos behind. LVMH owns Louis Vuitton, Givenchy and dozens of other big fashion brands.;Surprise

Big Announcement by Inspirational Man: Dr. Sanduk Ruit has announced to provide NRs 10 Million for healthcare professionals working in the frontline during ongoing situation in special award from his organization "Barbara Foundation". The award amount is generously granted by Foundation's board member and Chairman of Continental Trading Enterprises Mr. Suhrid Ghimire and his social worker daughter Aditi Ghimire.;Surprise

Happy World Milk Day: Daily collection and consumption of Milk is 8.5 lakhs to 11 lakhs litres in Nepal. More than 80% milk in the Nepali market is consumed in Kathmandu. Nepal is not self sufficient in milk production. The annual per person requirement is 91 litre but only 79 litre is produced per person annually.;Sad

Good News for Nepal and associate Nations: The ICC has decided to expand the men's ODI Cricket World Cup to 14 teams and ICC men's T20 World Cup will be expanded to 20 teams.;Surprise

Hami Nepal team clapping and welcoming Dr. Jageshwor Gautam who helped open COVID Ward in Bir Hospital's new surgical building which was stuck for a month. He came and helped open the ward within a week.;Surprise

Inspirational farmer from Bara: He is Chandra Prasad Gautam. He doesn't have much more land but since the past few years he took other people's land in lease and started agriculture in 2 bigaha of land. In the month of Baisakh/Jestha, he sold nearly 300 Quintal of maize and earned around Nrs. 7 lakh. He says he has to return 1 lakh rupees to the land owner and there is huge profit margin. He is a true inspiration to the Nepalese people living around the world.;Surprise

Huge fire at CG's brewery plant (Most probably Nepal Ice factory), Nawalpur since 8:20 AM and it is still out of control. 4 fire control vehicles & around 100 security personnels trying to control it.;Sad

We express our heart felt condolences on the sudden demise of one of the great Nepali economist Dr. Govinda Bahadur Thapa, Former Executive Director of Nepal Rastra Bank, Alternate Executive Director of ADB and Former Chairman of Nepal Airlines Corporation. May his departed soul rest in peace.;Sad

Today is the 265th death anniversary of Kaji Kalu Pande: Pandey was also known as Prithvi Narayan Shah’s right hand. He was the commander of Gorkhali force during the unification of Nepal. He died on this day, Jestha 19, 1814 B.S at the age of 44 during Kirtipur war but was buried here (Chandragiri) as per his wish. #Tribute ;Sad

Nepali Congress leader and former Minister, Mohan Bahadur Basnet has handed over his private vehicle to be used as an ambulance for people in Sindhupalchowk. A 100- bed Hospital with oxygen is also built under his initiation at Sindhupalchowk.;Surprise

Breaking: CDOs of Kathmandu Valley have decided to extend the Nishedhagya in valley till Jestha 31 with some changes in the previous rules:;Sad

New Case Alert: 4,524 new COVID-19 cases confirmed in Nepal. Now, the total number of COVID-19 confirmed cases in Nepal reached 571,111. ;Sad

Opportunity for +2 Students: Ahile ko Situation ko karan Students haru Top Universities ko entrance prepare garna napaune dar ma raheko huda UTC le CMAT/ KUUMAT  ko free Foundation class chalaudai cha jasma daily lecture class, live test, weekly test ,QA class ra Group Discussion forum ma interact garna paaine chha.;Surprise

Edible Oil Price increase issue: Edible Oils have seen a big increase in price in recent days and customers have started complaining about the issue. In response, Oil Manufacturers association has said that price of Raw materials which are mostly imported from Brazil, Argentina, Canada, Australia have increased in international market due to current pandemic which has caused increase in import prices. There is also problem of manpower in these situations as said by the association. They have added that prices are still not increased according to international standard.;Angry

Important Weather Update: Nepal may experience above-normal monsoon (More rainfall) situation this year with  floods and landslides in different parts of the country & increased risk of diseases spread, as per the Monsoon Outlook prepared by different experts and concerned department. Huge Forest fires that Nepal experienced recently is an important factor for the increased risk, as per Executive Director of NDRRMA.;Sad

MoHP-Nepal has confirmed that they have received around 10 cases of Black Fungus ( Mucor Mycosis ) in Nepal.;Sad

Tribute to Frontliners: Beautiful Message from the Top of the Mt. Everest thanking all frontline workers for saving so many lives and giving their best. Thanks to pemba_sharwa & gtarso for this beautiful gesture.;Surprise

Motivation: She is 100 year old Indira Kumari Thapa from Kamalamai Sindhuli who recently recovered from COVID-19 and was discharged from Sindhuli District Hospital. She is a good example of willpower that people should have.;Surprise

Ramji Ram, Inspirational medical student from Chamar Community whom we & everyone here helped few months ago is currently giving service in a remote village of Rautahat District with his team by distributing medical items to needy & checking people's health wearing PPE outside in this hot summer. He said, I am in this condition after the help of public so I want to spend my whole life helping needy people".;Surprise

Class 12 Exam Update: The Education Minister of Nepal has said , "The decision regarding +2 exam will take some time as it has to be conducted by meeting International Standard requirements. So only internal evaluation doesn't seem possible. We are working on it to make appropriate decision for the students in this situation to decide whether to conduct like last year and make needed changes."Stick with us for more updates on +2 exams.;Funny

Huge smoke coming out near Kuleshowr, Kalimati area of Kathmandu. Details to follow. ;Sad

Back to Back record in Nepali Share Market: NEPSE has touched its all time highest point (2856.67) with transaction of more than Nrs. 16.9 Arba.;Surprise

NASA has announced two new Solar System missions to study the planet Venus, hottest planet. Two missions, DAVINCI+ & VERITAS will be sent to analyze  atmosphere and map the surface of Venus respectively.;Surprise

Traffic Police are doing one of the most important job right now. Standing all day in sun with high risk. This is a picture of a nurse checking the oxygen level of a traffic policeman inside a newly set up isolation center at a school near Gaushala by Mirmire Youth Club & other volunteers.  #RespectFrontliners;Surprise

